Ticket	Open Time	Type	Size	Item	Price	S / L	T / P	Close Time	Price	Commission	Taxes	Swap	Profit
3899162	2012.12.07 07:36	sell	0.3	eurusdpro	1.29404	0	0	2012.12.07 07:38	1.29354	-2	0	0	1 235
3899136	2012.12.07 07:33	sell	0.2	eurusdpro	1.29443	0	0	2012.12.07 07:34	1.29405	-2	0	0	626
3898951	2012.12.07 06:29	buy	1	eurusdpro	1.29547	1.2952	1.296	2012.12.07 06:45	1.29573	-8	0	0	2 143
3898930	2012.12.07 06:18	sell	1	eurusdpro	1.29532	0	0	2012.12.07 06:18	1.29547	-8	0	0	-1 236
3898919	2012.12.07 06:11	sell	1	usdjpypro	82.406	82.445	82.365	2012.12.07 06:17	82.445	-8	0	0	-3 900
3898893	2012.12.07 06:04	sell	0.5	usdjpypro	82.382	82.415	82.33	2012.12.07 06:10	82.415	-4	0	0	-1 650
3898853	2012.12.07 05:59	sell	0.1	eurusdpro	1.29575	0	0	2012.12.07 06:01	1.29585	-1	0	0	-83
3898817	2012.12.07 05:49	sell	1	usdjpypro	82.422	0	82.412	2012.12.07 05:58	82.412	-8	0	0	1 000
3898783	2012.12.07 05:26	sell	0.2	usdjpypro	82.469	0	82.44	2012.12.07 05:47	82.459	-2	0	0	200
3898662	2012.12.07 03:57	buy	0.2	eurusdpro	1.29682	0	1.29695	2012.12.07 04:22	1.2969	-2	0	0	132
3895272	2012.12.06 13:41	sell	0.1	eurusdpro	1.30643	0	0	2012.12.06 13:45	1.30626	-1	0	0	140
3895050	2012.12.06 13:05	sell	0.2	usdjpypro	82.324	82.366	82.274	2012.12.06 13:24	82.366	-2	0	0	-840
3895026	2012.12.06 13:02	buy	0.1	eurusdpro	1.30818	0	0	2012.12.06 13:03	1.30823	-1	0	0	41
3894958	2012.12.06 12:50	buy	1	eurusdpro	1.30706	0	0	2012.12.06 12:54	1.3076	-8	0	0	4 447
3894947	2012.12.06 12:46	sell	0.2	eurusdpro	1.30633	0	0	2012.12.06 12:54	1.30766	-2	0	0	-2 191
3894928	2012.12.06 12:44	sell	0.2	eurusdpro	1.30584	1.30725	0	2012.12.06 12:45	1.30645	-2	0	0	-1 005
3894461	2012.12.06 10:07	sell	0.1	eurusdpro	1.30765	1.30765	1.3065	2012.12.06 10:55	1.30765	-1	0	0	0
3894416	2012.12.06 10:07	sell	0.1	eurusdpro	1.30765	1.3081	1.3061	2012.12.06 10:28	1.30708	-1	0	0	469
3893894	2012.12.06 07:53	buy	0.2	usdjpypro	82.42	82.387	82.465	2012.12.06 07:56	82.433	-2	0	0	260
3893869	2012.12.06 07:45	sell	0.5	usdjpypro	82.424	0	0	2012.12.06 07:51	82.418	-4	0	0	300
3893751	2012.12.06 07:15	sell	0.2	eurusdpro	1.30554	0	0	2012.12.06 07:17	1.30526	-2	0	0	461
3893740	2012.12.06 07:11	sell	0.2	usdjpypro	82.447	0	82.41	2012.12.06 07:20	82.416	-2	0	0	620
3893727	2012.12.06 07:02	buy	0.2	eurusdpro	1.30573	1.3053	1.306	2012.12.06 07:13	1.30554	-2	0	0	-313
3889721	2012.12.05 09:07	sell	0.2	usdjpypro	82.198	0	0	2012.12.05 09:21	82.258	-2	0	0	-1 200
3889566	2012.12.05 08:50	sell	0.2	usdjpypro	82.229	0	0	2012.12.05 09:00	82.243	-2	0	0	-280
3889250	2012.12.05 06:23	buy	0.1	eurusdpro	1.31104	1.31104	1.31165	2012.12.05 07:07	1.31165	-1	0	0	503
3889152	2012.12.05 06:23	buy	0.1	eurusdpro	1.31104	1.3103	1.31165	2012.12.05 07:01	1.31134	-1	0	0	247
3888924	2012.12.05 04:30	sell	0.1	usdjpypro	82.235	82.27	82.18	2012.12.05 04:49	82.18	-1	0	0	550
3888902	2012.12.05 04:35	sell	0.2	eurusdpro	1.31162	1.312	1.311	2012.12.05 04:51	1.31155	-2	0	0	115
3888891	2012.12.05 04:30	sell	0.1	usdjpypro	82.235	82.27	82.18	2012.12.05 04:46	82.209	-1	0	0	260
3885436	2012.12.04 08:16	buy	0.2	usdjpypro	81.91	81.91	81.965	2012.12.04 08:32	81.96	-2	0	0	1 000
3885362	2012.12.04 08:02	sell	0.2	usdjpypro	81.88	0	81.835	2012.12.04 08:12	81.927	-2	0	0	-940
