close price,close time,comment,commission,expiration,lots,magic number,open price,open time,profit,stop loss,swap,symbol,take profit,ticket,order type
1.29338,2012.12.07 07:43,from #3899162,-2,1970.01.01 00:00,0.2,0,1.29404,2012.12.07 07:36,1087,1.29404,0,EURUSDpro,0,3899168,1
1.29345,2012.12.07 07:57,,-2,1970.01.01 00:00,0.2,0,1.29358,2012.12.07 07:46,214,0,0,EURUSDpro,0,3899228,1
106.621,2012.12.07 08:05,,-2,1970.01.01 00:00,0.2,0,106.566,2012.12.07 08:00,1100,106.5,0,EURJPYpro,106.666,3899291,0
1.29342,2012.12.07 08:24,,-2,1970.01.01 00:00,0.2,0,1.29349,2012.12.07 08:24,116,0,0,EURUSDpro,0,3899356,1
1.29259,2012.12.07 08:26,,-2,1970.01.01 00:00,0.2,0,1.29269,2012.12.07 08:24,165,0,0,EURUSDpro,0,3899372,1
106.344,2012.12.07 08:30,,-2,1970.01.01 00:00,0.2,0,106.271,2012.12.07 08:27,-1460,0,0,EURJPYpro,0,3899447,1
106.382,2012.12.07 08:32,,-4,1970.01.01 00:00,0.5,0,106.379,2012.12.07 08:30,150,0,0,EURJPYpro,0,3899494,0
106.515,2012.12.07 09:03,,-2,1970.01.01 00:00,0.2,0,106.459,2012.12.07 08:57,-1120,0,0,EURJPYpro,0,3899562,1
106.406,2012.12.07 09:10,,-4,1970.01.01 00:00,0.5,0,106.541,2012.12.07 09:03,-6750,0,0,EURJPYpro,0,3899602,0
106.54,2012.12.07 09:15,,-8,1970.01.01 00:00,1,0,106.492,2012.12.07 09:05,-4800,0,0,EURJPYpro,106.4,3899610,1
106.54,2012.12.07 09:17,,-8,1970.01.01 00:00,1,0,106.529,2012.12.07 09:17,1100,0,0,EURJPYpro,0,3899652,0
106.497,2012.12.07 09:19,,-8,1970.01.01 00:00,1,0,106.528,2012.12.07 09:18,3100,0,0,EURJPYpro,0,3899655,1
106.562,2012.12.07 09:34,,-8,1970.01.01 00:00,1,0,106.462,2012.12.07 09:24,-10000,106.562,0,EURJPYpro,106.362,3899681,1
106.569,2012.12.07 09:59,,-8,1970.01.01 00:00,1,0,106.597,2012.12.07 09:50,2800,0,0,EURJPYpro,106.487,3899765,1
106.579,2012.12.07 10:06,,-8,1970.01.01 00:00,1,0,106.59,2012.12.07 10:01,1100,0,0,EURJPYpro,0,3899811,1
82.375,2012.12.07 10:20,cancelled,0,1970.01.01 00:00,1,0,82.365,2012.12.07 10:11,0,82.345,0,USDJPYpro,82.38,3899830,2
82.372,2012.12.07 10:47,cancelled,0,1970.01.01 00:00,5,0,82.395,2012.12.07 10:17,0,82.415,0,USDJPYpro,82.38,3899838,3
106.46,2012.12.07 11:04,,-8,1970.01.01 00:00,1,0,106.463,2012.12.07 11:03,300,0,0,EURJPYpro,106.41,3899908,1
1.29192,2012.12.07 11:20,,-8,1970.01.01 00:00,1,0,1.29251,2012.12.07 11:12,-4860,0,0,EURUSDpro,0,3899932,0
1.29216,2012.12.07 11:21,,-24,1970.01.01 00:00,3,0,1.2915,2012.12.07 11:18,-16311,0,0,EURUSDpro,0,3899944,1
83.898,2012.12.17 08:44,cancelled,0,1970.01.01 00:00,0.5,0,83.85,2012.12.17 08:43,0,83.6,0,USDJPYpro,0,3928646,2
111.73,2012.12.24 17:48,xEMA_1.5.2,-8,1970.01.01 00:00,1,30001,111.727,2012.12.24 11:30,300,111.73,0,EURJPYpro,0,3950866,0
113.183,2012.12.26 18:27,to #3954392,-4,1970.01.01 00:00,0.5,30001,111.762,2012.12.24 17:59,71050,112.542,-140,EURJPYpro,0,3951869,0
113.028,2012.12.26 23:00,from #3951869,-4,1970.01.01 00:00,0.5,30001,111.762,2012.12.24 17:59,63300,112.542,-350,EURJPYpro,0,3954392,0
113.744,2012.12.28 14:30,expiration [2012.12.28 14:30],0,2012.12.28 14:30,1,30001,113.958,2012.12.28 13:30,0,112.696,0,EURJPYpro,0,3962029,4
113.713,2012.12.28 15:16,xEMA_1.5.2,-8,1970.01.01 00:00,1,30001,113.894,2012.12.28 14:35,-18100,113.713,0,EURJPYpro,0,3962285,0
113.679,2012.12.28 21:39,xEMA_1.5.2,-8,1970.01.01 00:00,1,30001,113.86,2012.12.28 15:22,-18100,113.679,0,EURJPYpro,0,3962475,0
113.161,2012.12.30 22:02,xEMA_1.5.2,-8,1970.01.01 00:00,1,30001,113.75,2012.12.28 21:39,-58900,113.432,-140,EURJPYpro,0,3963095,0
113.501,2012.12.30 23:02,expiration [2012.12.30 23:02],0,2012.12.30 23:02,1,30001,113.728,2012.12.30 22:02,0,113.425,0,EURJPYpro,0,3963174,4
113.522,2012.12.31 06:18,xEMA_1.5.2,-8,1970.01.01 00:00,1,30001,113.744,2012.12.30 23:29,-22200,113.522,0,EURJPYpro,0,3963329,0
113.958,2012.12.31 15:04,xEMA_1.5.2,-8,1970.01.01 00:00,1,30001,113.63,2012.12.31 07:04,32800,113.958,0,EURJPYpro,0,3964264,0
113.954,2012.12.31 16:13,xEMA_1.5.2,-8,1970.01.01 00:00,1,30001,113.986,2012.12.31 15:05,-3200,113.954,0,EURJPYpro,0,3965878,0
115.649,2013.01.02 04:07,xEMA_1.5.2,-513,1970.01.01 00:00,1,30001,113.976,2012.12.31 16:13,167300,115.649,-280,EURJPYpro,0,3966243,0
115.497,2013.01.02 04:43,xEMA_1.5.2,-513,1970.01.01 00:00,1,30001,115.687,2013.01.02 04:08,-19000,115.497,0,EURJPYpro,0,3967024,0
115.398,2013.01.02 09:28,xEMA_1.5.2,-513,1970.01.01 00:00,1,30001,115.512,2013.01.02 04:48,-11400,115.417,0,EURJPYpro,0,3967158,0
114.595,2013.01.03 03:30,expiration [2013.01.03 03:30],0,2013.01.03 03:30,1,30001,114.902,2013.01.03 02:30,0,114.415,0,EURJPYpro,0,3971602,4
114.586,2013.01.03 04:30,expiration [2013.01.03 04:30],0,2013.01.03 04:30,1,30001,114.878,2013.01.03 03:30,0,114.333,0,EURJPYpro,0,3971911,4
114.625,2013.01.03 05:30,expiration [2013.01.03 05:30],0,2013.01.03 05:30,1,30001,114.867,2013.01.03 04:30,0,114.295,0,EURJPYpro,0,3972015,4
114.781,2013.01.03 06:30,expiration [2013.01.03 06:30],0,2013.01.03 06:30,1,30001,114.855,2013.01.03 05:30,0,114.247,0,EURJPYpro,0,3972113,4
114.66,2013.01.03 07:30,expiration [2013.01.03 07:30],0,2013.01.03 07:30,1,30001,114.836,2013.01.03 06:30,0,114.213,0,EURJPYpro,0,3972224,4
114.636,2013.01.03 08:30,expiration [2013.01.03 08:30],0,2013.01.03 08:30,1,30001,114.789,2013.01.03 07:30,0,114.199,0,EURJPYpro,0,3972394,4
